0,0.951238202
0.002,0.951238202
0.004,0.951238202
0.006,0.951238202
0.008,0.951238202
0.01,0.9512298202
0.012,0.9512148202
0.014,0.9510568202
0.016,0.9503618202
0.018,0.9485538202
0.02,0.9451548202
0.022,0.9399518202
0.024,0.9338202
0.026,0.9245378202
0.028,0.9148738202
0.03,0.9043338202
0.032,0.8932128202
0.034,0.8817618202
0.036,0.870188202
0.038,0.8586268202
0.04,0.8472148202
0.042,0.836038202
0.044,0.8251338202
0.046,0.8145628202
0.048,0.8043428202
0.05,0.7944868202
0.052,0.7849978202
0.054,0.7758748202
0.056,0.7671118202
0.058,0.7586988202
0.06,0.7506248202
0.062,0.7428768202
0.064,0.735448202
0.066,0.7283038202
0.068,0.7214518202
0.07,0.714878202
0.072,0.7085468202
0.074,0.7024678202
0.076,0.696628202
0.078,0.6909948202
0.08,0.6855768202
0.082,0.6803578202
0.084,0.6753258202
0.086,0.6704728202
0.088,0.6657888202
0.09,0.6612658202
0.092,0.6568948202
0.094,0.6526698202
0.096,0.6485818202
0.098,0.6446238202
0.1,0.6407918202
0.102,0.6370778202
0.104,0.6334768202
0.106,0.6299828202
0.108,0.6265918202
0.11,0.6232978202
0.112,0.6200978202
0.114,0.6169868202
0.116,0.613968202
0.118,0.6110168202
0.12,0.6081498202
0.122,0.6053578202
0.124,0.6026358202
0.126,0.5999838202
0.128,0.5973958202
0.13,0.594878202
0.132,0.5924068202
0.134,0.5899998202
0.136,0.5876488202
0.138,0.5853498202
0.14,0.5831028202
0.142,0.5809048202
0.144,0.5787548202
0.146,0.5766498202
0.148,0.5745888202
0.15,0.5725698202
0.152,0.5705918202
0.154,0.5686528202
0.156,0.5667518202
0.158,0.5648868202
0.16,0.5630578202
0.162,0.5612618202
0.164,0.5594998202
0.166,0.5577688202
0.168,0.5560688202
0.17,0.5543978202
0.172,0.5527568202
0.174,0.5511418202
0.176,0.5495548202
0.178,0.5479938202
0.18,0.5464578202
0.182,0.5449468202
0.184,0.5434588202
0.186,0.5419938202
0.188,0.540558202
0.19,0.5391298202
0.192,0.5377298202
0.194,0.5363498202
0.196,0.5349888202
0.198,0.5336478202
0.2,0.5323258202
